typ;px;langd_m;bredd_m;azimut;topp_m;takmedian_m;kanal;E_min;E_max;N_min;N_max;E_centrum;N_centrum;korsar_tilegrans
LINJE;46;18.9;4.2;112.4;89.5;21.5;bygg;672809;672823;6578062;6578070;672816;6578066;0
LINJE;147;70.4;3.7;127.5;87.5;18.0;bygg+veg;677631;677678;6578333;6578370;677656;6578350;0
LINJE;60;30.2;3.1;105.9;86.0;8.0;veg;676355;676380;6579820;6579829;676368;6579825;0
LINJE;174;72.9;3.9;150.1;74.5;13.0;bygg+veg;668391;668423;6583494;6583549;668407;6583523;0
LINJE;265;106.5;5.5;36.0;70.0;17.5;bygg+veg;678854;678911;6579389;6579467;678879;6579421;0
LINJE;127;36.9;6.3;35.4;69.0;14.5;bygg+veg;676809;676829;6583514;6583541;676820;6583529;0
LINJE;95;47.2;3.2;127.0;69.0;20.0;bygg+veg;672751;672782;6582852;6582877;672767;6582864;1
LINJE;263;116.9;3.6;45.9;68.5;13.5;bygg+veg;670902;670975;6575390;6575461;670937;6575423;0
LINJE;73;29.4;7.1;175.6;68.0;16.5;veg;674870;674880;6579798;6579821;674875;6579811;0
LINJE;258;90.1;4.0;177.0;67.5;17.5;bygg+veg;675772;675779;6579287;6579364;675775;6579324;0
LINJE;251;114.0;3.7;135.2;64.5;11.5;bygg+veg;666651;666720;6585175;6585243;666688;6585207;0
LINJE;298;116.1;4.7;70.8;64.5;20.5;bygg+veg;673041;673132;6579322;6579357;673089;6579340;0
LINJE;208;90.1;4.0;109.4;63.5;20.0;bygg+veg;672799;672869;6582856;6582883;672838;6582869;0
LINJE;156;69.7;4.2;40.8;63.0;22.5;bygg+veg;676342;676384;6582721;6582768;676361;6582743;1
LINJE;53;34.7;2.9;42.4;62.5;17.5;veg;678890;678910;6579431;6579452;678900;6579442;0
LINJE;172;84.2;3.3;104.7;62.0;15.5;veg;676942;677010;6577664;6577684;676974;6577675;0
LINJE;121;42.8;6.5;66.2;62.0;11.5;bygg+veg;670520;670557;6577256;6577274;670540;6577264;0
LINJE;123;51.3;4.5;126.3;61.5;21.5;bygg+veg;672357;672392;6582403;6582429;672374;6582416;0
LINJE;47;30.7;2.5;48.6;59.5;12.5;veg;666465;666485;6575000;6575017;666476;6575009;0
LINJE;117;53.5;4.0;125.5;58.5;21.5;bygg+veg;672405;672444;6582366;6582392;672425;6582379;0
LINJE;74;42.6;2.7;35.3;58.0;17.0;veg;675182;675202;6579593;6579624;675192;6579610;0
LINJE;183;80.8;4.4;47.0;57.5;13.5;bygg+veg;670955;671007;6575287;6575335;670984;6575313;0
LINJE;313;105.4;7.3;61.1;57.5;18.5;bygg+veg;674369;674452;6580666;6580714;674404;6580686;0
LINJE;351;89.4;11.4;62.8;57.0;17.0;bygg+veg;674727;674796;6579969;6580010;674761;6579988;0
LINJE;248;97.8;4.5;71.0;56.0;20.5;bygg+veg;673046;673123;6579256;6579285;673088;6579271;0
LINJE;26;19.3;2.4;106.0;56.0;18.5;bygg;674444;674459;6580657;6580662;674452;6580660;0
LINJE;80;49.0;2.7;48.6;55.5;12.5;veg;666486;666519;6575019;6575046;666502;6575032;0
LINJE;127;70.8;9.0;61.5;54.0;9.5;veg;666890;666954;6575291;6575323;666924;6575309;0
LINJE;204;85.2;4.2;54.2;53.5;12.0;bygg+veg;671353;671412;6575207;6575250;671380;6575227;0
LINJE;53;42.1;2.9;88.9;53.5;19.5;bygg+veg;676977;677010;6578616;6578619;676994;6578617;0
LINJE;156;52.0;6.0;94.3;53.0;19.5;bygg+veg;677011;677055;6578614;6578623;677034;6578618;0
LINJE;151;80.9;3.1;90.5;52.0;23.0;veg;676947;677013;6583088;6583091;676978;6583089;0
LINJE;27;21.8;2.6;72.5;52.0;11.5;veg;670557;670573;6577267;6577274;670566;6577270;0
LINJE;236;81.1;5.4;41.5;51.0;20.5;bygg+veg;673224;673275;6581109;6581164;673247;6581135;0
LINJE;35;24.1;2.8;168.1;51.0;14.0;veg;675432;675438;6577345;6577363;675435;6577354;0
LINJE;181;75.7;4.1;177.4;51.0;11.5;bygg+veg;666745;666751;6585166;6585228;666748;6585195;0
LINJE;44;24.6;3.1;169.3;51.0;18.5;bygg+veg;674548;674553;6580406;6580426;674550;6580416;0
LINJE;161;77.3;13.6;52.1;50.5;9.5;veg;666616;666677;6575132;6575178;666644;6575158;1
LINJE;58;35.3;2.8;77.1;50.5;18.5;bygg+veg;674570;674598;6580472;6580480;674584;6580476;0
LINJE;59;36.3;3.0;48.8;50.0;12.5;veg;666537;666561;6575063;6575083;666548;6575073;0
LINJE;652;69.1;15.3;98.2;49.0;8.0;bygg+veg;669014;669074;6584993;6585014;669044;6585003;0
LINJE;194;72.1;5.0;66.9;49.0;15.0;bygg+veg;670401;670458;6584559;6584587;670431;6584573;0
LINJE;31;18.3;2.7;155.7;49.0;20.0;veg;675715;675722;6578157;6578171;675719;6578165;0
LINJE;174;65.2;10.0;131.5;48.5;18.5;bygg;675531;675573;6576754;6576795;675552;6576768;0
LINJE;276;108.5;4.0;68.6;48.0;8.5;bygg+veg;666139;666225;6580533;6580568;666184;6580551;0
LINJE;30;19.0;2.4;99.2;47.5;19.5;veg;676979;676994;6578624;6578627;676986;6578625;0
LINJE;103;39.2;9.4;116.9;47.5;12.0;bygg+veg;677613;677649;6576370;6576389;677633;6576380;0
LINJE;55;23.3;3.5;90.3;47.5;23.0;veg;677230;677251;6583242;6583245;677240;6583244;0
LINJE;136;60.3;4.0;112.1;47.0;10.0;bygg+veg;676872;676921;6578681;6578702;676894;6578692;1
LINJE;240;112.8;4.1;21.3;45.5;11.0;bygg+veg;673871;673907;6583465;6583554;673890;6583512;0
LINJE;63;21.2;4.1;178.1;45.5;18.5;bygg;675529;675533;6576797;6576816;675531;6576806;0
LINJE;56;35.5;2.7;179.1;45.5;12.0;veg;677633;677635;6576390;6576419;677634;6576404;0
LINJE;58;22.3;4.0;119.7;44.5;19.5;bygg+veg;670740;670757;6584937;6584948;670749;6584943;0
LINJE;70;19.3;5.4;107.1;44.5;9.0;veg;666199;666215;6579949;6579958;666207;6579954;0
LINJE;54;27.7;3.1;55.0;44.5;13.0;bygg+veg;674035;674055;6576780;6576794;674045;6576786;0
LINJE;104;37.0;5.8;55.6;44.0;17.0;bygg;672185;672214;6582833;6582854;672198;6582842;0
LINJE;38;25.8;2.3;120.5;44.0;20.0;bygg+veg;672557;672576;6582799;6582810;672566;6582805;0
LINJE;111;25.4;7.2;35.9;43.5;21.5;veg;673046;673063;6578065;6578085;673055;6578075;0
LINJE;30;18.5;2.8;48.2;43.5;11.5;veg;666592;666604;6575112;6575122;666598;6575117;0
LINJE;25;19.0;3.0;50.8;43.5;11.5;veg;666580;666592;6575101;6575110;666585;6575106;1
LINJE;151;27.5;7.7;6.7;43.0;17.0;bygg+veg;674874;674882;6579680;6579706;674878;6579693;0
LINJE;113;53.1;15.1;131.4;43.0;4.0;veg;675418;675455;6584372;6584411;675440;6584389;0
LINJE;53;28.2;4.8;98.4;43.0;20.5;bygg+veg;675610;675634;6583785;6583791;675621;6583787;0
LINJE;34;25.2;2.1;73.7;43.0;20.5;bygg;673254;673274;6581077;6581084;673264;6581080;0
LINJE;38;19.4;3.8;60.0;42.5;8.0;veg;676857;676871;6584925;6584934;676865;6584930;1
LINJE;153;68.2;3.5;129.3;42.5;11.5;bygg+veg;670536;670583;6577191;6577230;670558;6577212;0
LINJE;49;33.9;2.3;150.2;42.5;22.5;bygg;673647;673662;6580995;6581020;673655;6581008;0
LINJE;215;45.3;10.6;23.0;42.0;18.0;bygg;677500;677521;6578367;6578401;677510;6578385;0
LINJE;196;86.3;4.1;71.1;42.0;17.5;bygg+veg;678516;678585;6579547;6579573;678555;6579561;0
LINJE;160;61.2;4.0;66.3;41.5;19.5;bygg+veg;676321;676369;6578817;6578840;676344;6578828;1
LINJE;21;19.9;1.7;61.7;41.5;9.5;veg;666682;666696;6575180;6575188;666689;6575184;0
LINJE;87;55.8;2.7;58.3;41.5;11.0;veg;676974;677015;6584673;6584698;676995;6584686;0
LINJE;174;73.5;3.9;146.3;41.0;12.0;bygg+veg;671322;671358;6575161;6575213;671338;6575189;0
LINJE;191;48.7;11.0;134.8;41.0;9.5;bygg+veg;677347;677383;6575921;6575955;677362;6575939;1
LINJE;155;75.5;4.3;135.8;41.0;18.0;bygg+veg;677523;677567;6578201;6578247;677543;6578226;0
LINJE;942;89.0;15.9;91.8;40.5;18.5;bygg+veg;675614;675700;6576723;6576740;675655;6576732;0
LINJE;131;40.4;5.1;150.4;40.5;22.5;bygg;673727;673746;6580863;6580894;673736;6580878;0
LINJE;17;18.4;1.6;64.9;40.5;9.5;veg;666964;666976;6575328;6575335;666970;6575331;0
LINJE;586;59.1;15.8;118.2;40.0;19.5;bygg;670770;670821;6584949;6584984;670796;6584968;0
LINJE;61;26.1;4.5;147.3;39.5;22.5;bygg;673675;673688;6580951;6580971;673683;6580960;0
LINJE;223;98.1;5.6;134.1;39.5;22.5;bygg;671139;671200;6581459;6581521;671164;6581493;0
LINJE;494;65.4;12.3;51.0;39.5;20.0;bygg;672334;672384;6582945;6582987;672362;6582964;0
LINJE;576;76.3;12.4;24.0;39.0;21.0;bygg;676449;676485;6583027;6583089;676467;6583059;0
LINJE;61;20.5;4.5;94.3;39.0;12.0;bygg+veg;673731;673749;6576640;6576644;673738;6576641;0
LINJE;154;62.2;5.8;161.2;38.5;20.0;bygg;675245;675267;6578640;6578688;675254;6578662;1
LINJE;314;58.4;13.5;172.6;38.5;17.0;bygg;671066;671084;6583515;6583569;671076;6583549;0
LINJE;466;80.5;11.4;178.4;38.5;18.0;bygg;671763;671779;6580302;6580378;671773;6580347;0
LINJE;35;30.1;2.2;61.7;38.5;9.5;veg;666858;666881;6575273;6575285;666869;6575279;0
LINJE;102;47.2;4.8;145.9;38.0;11.5;veg;675222;675247;6577810;6577846;675235;6577829;0
LINJE;95;37.6;10.2;150.6;38.0;11.5;bygg+veg;670887;670907;6579004;6579031;670900;6579018;0
LINJE;1152;117.1;15.4;177.6;37.5;17.5;bygg+veg;670341;670359;6583436;6583539;670350;6583488;0
LINJE;41;22.1;3.4;12.2;37.5;20.5;bygg+veg;671863;671868;6581145;6581163;671865;6581154;0
LINJE;119;28.1;7.4;90.6;37.5;15.0;bygg;671569;671596;6580359;6580366;671582;6580363;0
LINJE;35;19.3;3.1;140.8;37.5;20.0;veg;675355;675366;6577696;6577710;675361;6577702;0
LINJE;119;46.8;3.9;19.2;37.5;9.5;bygg+veg;677285;677300;6575878;6575916;677293;6575898;0
LINJE;95;36.7;6.2;153.6;37.0;11.5;veg;675148;675165;6577964;6577993;675156;6577978;0
LINJE;55;27.7;4.6;150.9;37.0;11.5;veg;675220;675234;6577864;6577887;675227;6577873;0
LINJE;20;18.4;3.7;164.3;36.5;11.5;veg;675292;675297;6577917;6577930;675295;6577924;0
LINJE;110;57.7;2.8;136.1;36.5;12.5;veg;676137;676172;6584016;6584052;676154;6584033;0
LINJE;289;38.6;11.0;150.0;36.5;20.0;bygg;675391;675414;6577827;6577859;675402;6577843;0
LINJE;68;39.9;3.2;132.9;36.5;11.5;veg;674280;674307;6585043;6585066;674293;6585055;1
LINJE;16;18.4;1.5;132.4;36.5;4.5;veg;674552;674562;6584800;6584810;674557;6584805;0
LINJE;37;31.5;2.0;149.2;36.5;11.5;veg;675208;675222;6577848;6577871;675215;6577859;0
LINJE;1164;175.6;12.9;108.1;36.0;13.0;bygg;676419;676559;6581378;6581438;676480;6581412;0
LINJE;585;69.1;13.8;35.6;36.0;11.5;bygg+veg;666458;666503;6575443;6575497;666480;6575470;0
LINJE;180;46.2;8.4;68.4;36.0;7.0;veg;676103;676139;6580176;6580196;676121;6580186;0
LINJE;96;33.1;6.2;32.1;36.0;17.5;bygg;667443;667461;6584745;6584772;667451;6584755;0
LINJE;43;22.0;3.3;72.1;36.0;19.5;bygg;674133;674151;6578818;6578825;674143;6578822;0
LINJE;85;35.0;5.2;154.7;36.0;10.5;veg;671090;671106;6578579;6578608;671098;6578595;0
LINJE;58;36.8;2.6;68.6;35.5;9.0;veg;671556;671585;6576307;6576318;671570;6576312;0
LINJE;187;34.1;8.8;137.7;35.5;11.5;bygg;676448;676472;6576290;6576315;676460;6576302;0
LINJE;346;53.5;13.2;41.4;35.5;13.5;bygg;670979;671013;6576894;6576934;670995;6576911;0
LINJE;307;64.9;6.6;145.8;35.5;18.5;bygg+veg;674693;674727;6580415;6580466;674710;6580441;0
LINJE;103;63.6;2.6;90.3;35.5;10.5;bygg+veg;671898;671951;6578811;6578814;671925;6578813;0
LINJE;35;33.5;1.7;159.3;35.5;11.5;veg;675278;675288;6577879;6577907;675283;6577893;0
LINJE;21;19.4;2.1;160.3;35.5;20.0;veg;675325;675331;6577863;6577877;675328;6577871;1
LINJE;256;85.2;11.5;118.3;35.0;17.0;bygg+veg;672117;672182;6582779;6582818;672148;6582802;1
LINJE;28;20.5;2.3;157.1;35.0;11.5;veg;675314;675321;6577891;6577906;675317;6577900;0
LINJE;81;33.8;6.3;159.2;35.0;10.5;veg;671108;671121;6578611;6578641;671115;6578624;0
LINJE;306;73.1;7.6;118.8;34.5;15.5;bygg;668878;668933;6584090;6584124;668905;6584108;0
LINJE;382;64.5;10.5;62.5;34.5;17.0;bygg;672049;672107;6578655;6578686;672077;6578668;0
LINJE;138;39.2;7.2;149.4;34.5;10.5;veg;671106;671127;6578547;6578577;671116;6578561;0
LINJE;128;38.2;9.5;167.1;34.5;15.0;bygg+veg;676932;676948;6579188;6579220;676942;6579206;1
LINJE;145;71.6;3.5;98.4;34.5;8.0;bygg+veg;676479;676539;6579810;6579821;676507;6579816;0
LINJE;65;38.8;4.4;158.7;34.5;11.5;veg;675296;675309;6577848;6577879;675302;6577864;0
LINJE;417;62.3;11.3;140.3;34.0;11.5;bygg;676474;676511;6576236;6576286;676493;6576263;0
LINJE;194;47.1;9.9;41.1;34.0;13.0;bygg;668595;668627;6583525;6583561;668608;6583539;0
LINJE;82;54.5;2.9;152.5;34.0;10.5;veg;671122;671144;6578572;6578614;671133;6578592;0
LINJE;98;25.6;6.1;179.9;34.0;0.0;veg;674460;674466;6585268;6585290;674463;6585279;0
LINJE;37;23.9;3.4;117.1;34.0;15.5;bygg;669080;669097;6584049;6584058;669089;6584053;0
LINJE;28;22.1;2.0;139.8;34.0;6.5;veg;675301;675312;6584533;6584546;675306;6584539;0
LINJE;115;26.6;6.0;95.7;33.5;8.5;bygg+veg;676095;676121;6580222;6580229;676108;6580226;1
LINJE;235;42.5;9.3;0.7;33.5;14.0;bygg+veg;670709;670719;6582849;6582887;670715;6582865;0
LINJE;508;78.4;12.6;10.2;33.5;11.5;bygg+veg;667344;667365;6576541;6576606;667355;6576576;0
LINJE;61;29.8;4.3;142.5;33.5;11.5;bygg;676424;676441;6576300;6576320;676434;6576309;0
LINJE;222;48.6;9.5;40.9;33.5;13.0;bygg;668627;668658;6583497;6583533;668640;6583512;0
LINJE;18;21.1;1.4;25.0;33.5;17.5;veg;667639;667646;6584609;6584624;667643;6584617;0
LINJE;30;19.7;2.4;34.7;33.0;11.5;veg;671620;671629;6577987;6578000;671625;6577993;0
LINJE;29;22.7;2.5;89.4;33.0;17.5;bygg;678656;678674;6579645;6579647;678665;6579646;0
LINJE;60;53.7;1.8;139.3;33.0;4.0;veg;675369;675398;6584434;6584467;675384;6584450;0
LINJE;28;24.6;1.8;139.6;33.0;6.5;veg;675314;675327;6584516;6584531;675320;6584524;0
LINJE;328;122.4;6.1;152.0;32.5;11.5;bygg+veg;670903;670958;6578929;6579028;670930;6578980;0
LINJE;282;58.3;13.8;78.9;32.5;11.5;bygg;678815;678868;6579103;6579124;678850;6579114;0
LINJE;261;57.8;8.4;64.0;32.5;10.0;bygg+veg;676893;676937;6579142;6579171;676915;6579157;0
LINJE;24;21.1;1.4;134.9;32.5;0.0;veg;674466;674478;6584879;6584891;674472;6584885;0
LINJE;960;90.3;15.7;13.2;32.0;8.5;bygg;672080;672108;6577934;6578016;672093;6577978;0
LINJE;160;40.6;8.5;78.6;32.0;9.0;bygg+veg;674031;674063;6579715;6579728;674045;6579722;0
LINJE;167;36.7;9.0;83.9;32.0;0.0;veg;674572;674604;6585273;6585284;674587;6585279;0
LINJE;633;70.7;13.9;34.4;31.5;11.5;bygg+veg;666532;666574;6575449;6575506;666553;6575478;0
LINJE;31;25.4;2.1;160.6;31.5;16.5;veg;669086;669093;6583776;6583795;669089;6583786;0
LINJE;464;77.1;11.4;13.8;31.0;11.5;bygg;667214;667240;6576307;6576371;667225;6576341;0
LINJE;74;23.0;5.3;55.0;31.0;13.0;bygg;668564;668584;6583564;6583579;668572;6583570;0
LINJE;21;19.6;3.1;33.6;31.0;4.0;veg;673105;673114;6578300;6578313;673109;6578307;0
LINJE;219;42.0;8.8;174.9;31.0;10.5;bygg;674837;674848;6582936;6582978;674843;6582962;0
LINJE;81;24.3;5.5;58.8;31.0;13.0;bygg;668508;668528;6583623;6583636;668516;6583629;0
LINJE;52;23.7;5.9;38.6;31.0;13.0;bygg;668543;668559;6583590;6583608;668549;6583597;0
LINJE;22;20.5;1.5;88.8;31.0;14.0;bygg;675505;675522;6577152;6577153;675514;6577152;0
LINJE;24;21.1;1.9;43.6;30.5;17.0;veg;671999;672010;6582831;6582844;672005;6582837;0
LINJE;155;43.6;6.7;139.3;30.5;13.0;bygg;671628;671655;6577182;6577212;671641;6577197;0
LINJE;46;38.8;2.4;32.5;30.5;16.5;veg;674812;674829;6579790;6579818;674820;6579803;1
LINJE;450;64.3;12.1;33.2;30.0;11.5;bygg;666440;666478;6575333;6575386;666458;6575362;0
LINJE;256;42.5;9.9;6.8;30.0;12.0;bygg+veg;669659;669673;6580811;6580849;669665;6580832;0
LINJE;66;27.5;4.5;132.6;30.0;11.5;bygg;676461;676481;6576257;6576274;676470;6576267;0
LINJE;128;31.9;6.8;121.1;30.0;0.0;veg;674627;674653;6585104;6585120;674640;6585112;0
LINJE;189;42.6;6.6;165.9;30.0;12.0;bygg;675968;675981;6577627;6577663;675975;6577647;0
LINJE;30;21.4;3.3;178.5;30.0;14.0;bygg;670305;670308;6582784;6582801;670307;6582792;0
LINJE;53;22.8;3.9;113.1;30.0;14.0;bygg+veg;671552;671571;6579204;6579212;671561;6579208;0
LINJE;57;26.5;6.6;37.6;30.0;4.0;veg;673136;673153;6578356;6578377;673144;6578368;0
LINJE;24;20.1;2.4;153.9;30.0;11.5;bygg+veg;670897;670905;6578964;6578979;670901;6578971;0
LINJE;203;87.9;4.7;152.3;29.5;10.5;veg;671123;671160;6578474;6578545;671141;6578511;0
LINJE;293;68.6;7.7;102.3;29.5;13.0;bygg+veg;669703;669763;6580802;6580818;669736;6580810;0
LINJE;117;31.7;7.8;79.1;29.5;7.0;bygg+veg;676133;676162;6580130;6580140;676147;6580136;0
LINJE;161;35.4;9.9;117.5;29.5;10.0;veg;672464;672493;6583966;6583983;672479;6583975;0
LINJE;262;49.8;8.9;175.6;29.5;8.5;bygg;677888;677898;6578418;6578462;677891;6578437;0
LINJE;53;19.7;4.5;52.1;29.5;0.0;veg;674606;674619;6585091;6585103;674612;6585097;0
LINJE;86;29.8;8.2;158.1;29.5;13.0;veg;672053;672067;6585139;6585163;672061;6585151;0
LINJE;83;26.7;4.7;174.0;29.5;13.0;bygg+veg;675882;675887;6579209;6579233;675885;6579220;0
LINJE;21;20.5;1.6;138.5;29.5;14.0;veg;670726;670737;6579270;6579282;670732;6579276;0
LINJE;221;47.2;13.5;114.3;29.0;6.5;veg;676780;676817;6575139;6575164;676798;6575149;0
LINJE;66;28.8;5.0;150.3;29.0;11.5;veg;670866;670881;6579006;6579030;670874;6579020;0
LINJE;51;38.7;2.3;146.0;29.0;7.5;veg;672168;672187;6580156;6580183;672177;6580170;0
LINJE;18;20.6;1.4;160.9;29.0;11.5;veg;675302;675307;6577926;6577941;675304;6577934;0
LINJE;311;54.2;10.1;36.6;28.5;9.5;bygg;667648;667681;6584358;6584401;667663;6584382;0
LINJE;112;36.6;6.0;50.8;28.5;10.5;bygg;672035;672062;6578688;6578711;672050;6578698;0
LINJE;21;21.5;1.6;134.1;28.5;0.0;veg;674424;674436;6584920;6584932;674430;6584926;0
LINJE;268;56.6;9.6;24.6;28.5;10.5;bygg;672223;672250;6578891;6578935;672235;6578910;0
LINJE;53;37.5;2.4;129.2;28.5;9.0;veg;670694;670718;6579984;6580005;670705;6579995;0
LINJE;45;38.6;1.7;128.5;28.5;6.5;veg;675157;675183;6584655;6584675;675171;6584665;0
LINJE;25;22.3;1.9;86.1;28.5;14.0;veg;675507;675524;6577156;6577158;675516;6577157;0
LINJE;21;21.1;1.9;133.5;28.5;0.0;veg;674372;674385;6584969;6584980;674378;6584974;0
LINJE;18;18.4;1.7;133.4;28.5;0.0;veg;674402;674413;6584943;6584952;674407;6584947;0
LINJE;59;41.0;2.1;159.4;28.0;11.5;veg;675253;675266;6578036;6578070;675260;6578053;0
LINJE;57;33.5;5.6;149.3;28.0;11.5;veg;675157;675174;6577942;6577967;675165;6577953;0
LINJE;42;18.6;4.4;155.0;28.0;10.5;veg;671184;671193;6578478;6578493;671188;6578485;0
LINJE;27;20.3;3.0;47.7;28.0;14.5;veg;669986;669999;6582567;6582578;669993;6582573;0
LINJE;53;21.9;5.9;176.2;28.0;11.5;veg;666285;666291;6579366;6579385;666287;6579374;0
LINJE;42;19.9;3.5;97.9;27.5;14.5;veg;676773;676790;6583505;6583509;676783;6583507;0
LINJE;21;20.5;1.6;127.8;27.5;6.5;veg;675103;675116;6584707;6584717;675110;6584712;0
LINJE;22;19.4;2.1;83.3;27.5;14.5;veg;676887;676903;6582517;6582519;676895;6582518;0
LINJE;32;24.6;3.6;142.6;27.5;7.5;veg;672153;672166;6580189;6580204;672159;6580196;0
LINJE;25;22.6;1.8;106.1;27.5;11.5;veg;673990;674008;6585157;6585162;673999;6585160;0
LINJE;294;55.8;11.5;42.8;27.0;7.5;bygg;666853;666892;6581009;6581047;666873;6581027;0
LINJE;36;20.0;2.4;106.7;27.0;12.0;veg;669935;669952;6578073;6578078;669943;6578076;0
LINJE;22;20.5;1.5;153.8;27.0;8.5;veg;670577;670585;6579480;6579495;670581;6579488;0
LINJE;48;32.6;3.0;5.6;26.5;9.5;bygg;669826;669830;6583963;6583989;669828;6583975;0
LINJE;36;22.6;2.7;136.4;26.5;12.0;veg;669242;669255;6576398;6576412;669249;6576405;0
LINJE;28;19.6;2.5;172.1;26.5;10.5;bygg;672252;672255;6578921;6578936;672254;6578928;0
LINJE;472;58.8;14.8;9.3;26.0;6.5;bygg;669659;669683;6577606;6577656;669668;6577631;0
LINJE;276;45.4;9.4;10.9;26.0;7.0;bygg;674809;674823;6575109;6575148;674816;6575128;1
LINJE;128;28.2;7.9;94.2;26.0;6.5;bygg;673800;673827;6576120;6576127;673815;6576124;0
LINJE;121;33.3;9.3;157.0;26.0;7.5;bygg;671744;671759;6577250;6577279;671751;6577264;0
LINJE;28;25.2;1.8;11.3;26.0;11.5;veg;667367;667371;6576367;6576388;667369;6576377;0
LINJE;247;44.5;8.2;128.9;25.5;6.5;bygg;673831;673864;6576090;6576118;673848;6576103;0
LINJE;80;32.5;4.7;72.0;25.5;9.0;bygg;674274;674299;6580201;6580211;674284;6580206;0
LINJE;323;126.7;14.5;115.5;25.0;6.0;bygg;671370;671463;6581760;6581808;671417;6581789;0
LINJE;101;45.1;8.4;148.0;24.5;7.0;bygg;675074;675097;6575989;6576026;675087;6576004;0
LINJE;144;40.0;6.3;162.8;24.5;6.0;bygg;670456;670470;6577119;6577151;670463;6577135;0
STUMP?;24;10.8;6.7;31.2;127.0;9.5;bygg;677851;677859;6581534;6581542;677855;6581537;0
STUMP?;11;7.8;3.1;54.2;127.0;9.5;bygg;677845;677850;6581540;6581544;677848;6581542;0
STUMP?;10;10.8;1.3;164.4;79.5;20.5;bygg;674956;674958;6578815;6578823;674957;6578819;0
STUMP?;14;6.1;3.6;29.9;76.0;20.5;bygg;672921;672924;6580916;6580921;672923;6580918;0
STUMP?;32;7.0;6.4;58.4;69.0;17.0;bygg+veg;672138;672144;6583069;6583074;672141;6583071;0
STUMP?;9;7.2;2.6;177.2;68.5;16.5;veg;674875;674877;6579791;6579796;674876;6579793;0
STUMP?;38;15.4;3.7;58.2;68.0;17.0;veg;674986;674997;6579696;6579704;674991;6579700;0
STUMP?;26;11.6;3.5;56.5;68.0;17.0;veg;674977;674984;6579690;6579697;674981;6579694;0
STUMP?;21;6.2;5.3;111.4;67.5;12.0;veg;676953;676958;6577521;6577525;676955;6577523;0
STUMP?;29;14.0;3.5;131.2;65.0;20.0;bygg;672803;672812;6582830;6582839;672808;6582834;0
STUMP?;38;7.1;6.9;45.5;61.0;7.0;bygg+veg;676101;676107;6580122;6580128;676104;6580125;0
STUMP?;9;5.4;2.5;48.9;61.0;22.5;veg;676383;676386;6582770;6582773;676385;6582771;0
STUMP?;26;10.1;4.7;59.2;61.0;19.5;bygg;676262;676269;6578808;6578814;676265;6578811;0
STUMP?;15;5.0;4.4;129.7;61.0;19.0;bygg;673683;673687;6579697;6579701;673685;6579699;0
STUMP?;9;4.7;3.2;66.0;60.0;12.0;veg;671828;671831;6582439;6582442;671829;6582440;0
STUMP?;19;6.0;4.7;0.0;59.5;21.5;veg;672368;672371;6578728;6578732;672370;6578730;0
STUMP?;12;9.0;1.9;93.6;58.5;21.5;veg;672548;672555;6582765;6582766;672551;6582765;0
STUMP?;20;5.6;4.9;3.9;56.5;17.0;veg;675834;675838;6584092;6584097;675836;6584094;0
STUMP?;13;5.4;3.6;120.0;56.5;7.5;bygg;666711;666715;6581243;6581246;666713;6581245;0
STUMP?;16;10.1;2.9;112.3;56.5;18.5;bygg;674367;674375;6580679;6580683;674371;6580681;0
STUMP?;12;8.0;2.2;55.7;56.0;8.5;veg;676127;676132;6580396;6580400;676129;6580398;0
STUMP?;11;7.1;2.7;115.9;55.5;20.0;veg;672538;672543;6582818;6582821;672540;6582819;0
STUMP?;12;7.5;2.4;103.7;52.5;19.5;bygg;677002;677008;6578622;6578624;677005;6578623;0
STUMP?;19;15.1;3.0;76.3;52.0;11.5;bygg+veg;670577;670588;6577274;6577278;670583;6577276;0
STUMP?;10;5.7;3.1;43.9;52.0;22.5;bygg;673295;673298;6581185;6581188;673296;6581187;0
STUMP?;11;4.6;3.2;15.1;52.0;8.5;veg;668041;668043;6575991;6575994;668042;6575993;0
STUMP?;24;14.8;3.0;58.0;52.0;11.5;veg;670573;670583;6577283;6577290;670578;6577287;0
STUMP?;16;10.8;3.5;64.6;52.0;11.5;veg;670558;670566;6577276;6577280;670562;6577278;0
STUMP?;24;11.6;3.9;62.5;51.5;11.5;bygg;670518;670526;6577251;6577256;670522;6577253;0
STUMP?;13;10.7;2.3;53.1;51.5;12.5;veg;666519;666526;6575047;6575052;666522;6575050;0
STUMP?;14;7.4;3.0;129.0;51.5;12.0;bygg;674602;674607;6582849;6582853;674604;6582851;0
STUMP?;23;9.6;4.2;148.9;51.5;19.5;veg;676999;677004;6578581;6578588;677002;6578584;0
STUMP?;24;16.3;2.8;40.5;51.0;22.5;bygg+veg;673283;673292;6581173;6581183;673288;6581178;0
STUMP?;19;14.8;2.1;119.3;51.0;20.0;bygg;672545;672555;6582811;6582817;672549;6582814;0
STUMP?;25;14.0;2.6;47.5;51.0;12.5;veg;666526;666535;6575054;6575062;666531;6575057;0
STUMP?;20;11.2;2.6;144.8;50.5;14.0;veg;667989;667995;6584217;6584225;667992;6584221;0
STUMP?;22;13.7;3.0;39.8;50.5;22.5;bygg+veg;673284;673292;6581184;6581193;673288;6581188;0
STUMP?;24;15.2;2.7;41.3;50.5;22.5;bygg+veg;673275;673284;6581173;6581183;673280;6581178;1
